id,first_name,last_name,full_name,team,position,status,hashtag,gsis_id,sleeper_id,sportradar_id,stats_id,swish_id,yahoo_id,rotowire_id,rotoworld_id,espn_id,fantasy_data_id
323,Jakeem,Grant,Jakeem Grant,CLE,WR,Inactive,#jakeemgrant-NFL-CLE-9,00-0032791,3342,5de11f0b-8da9-42ba-9a93-db7f0a58543b,605325,605325,29420,10990,11475,2577641,18103
324,Mitch,Trubisky,Mitch Trubisky,PIT,QB,Active,#mitchtrubisky-NFL-PIT-10,00-0033869,3976,7a1b8f1a-9024-4897-86b0-01c63e00305e,728169,728169,30115,11709,12135,3039707,18811
325,Kyle,Philips,Kyle Philips,TEN,WR,Active,#kylephilips-NFL-TEN-18,,8171,d32dad06-4e96-4a95-8db4-3a63948dc685,,1128108,,15830,,,
326,Brittain,Brown,Brittain Brown,LV,RB,Active,#brittainbrown-NFL-LV-38,,8423,387c8819-5892-4528-ac33-0ec72b24cc2f,,922451,,16294,,,
327,Zonovan,Knight,Zonovan Knight,NYJ,RB,Active,#zonovanknight-NFL-NYJ-27,,8122,53df5e30-d3bd-11ec-96a0-c3471a31202c,,1163866,,16105,,,
328,Tyree,Jackson,Tyree Jackson,PHI,TE,Active,#tyreejackson-NFL-PHI-80, 00-0035356,6040,2fc1c9f1-9e85-449a-9a87-fa8203e8e8f9,881048,881048,32415,13551,,3916564,20823
329,Zay,Jones,Zay Jones,JAX,WR,Active,#zayjones-NFL-JAX-7,00-0033891,4080,a28f7368-0306-4d20-855f-285a1a09c09c,746491,746491,30150,11751,12246,3059722,18926
330,Isiah,Pacheco,Isiah Pacheco,KC,RB,Active,#isiahpacheco-NFL-KC-10,,8205,3a25c037-fa30-4740-b742-ec8e4f1a2a25,,1106832,,16104,,,
331,John,Metchie,John Metchie,HOU,WR,Active,#johnmetchie-NFL-HOU-8,,8147,2995df34-ee81-4320-be1e-1c497b83c927,,1160348,,16069,,,
332,Taiwan,Jones,Taiwan Jones,BUF,RB,Active,#taiwanjones-NFL-BUF-25,00-0028063,886,adadafa1-dc37-486d-8538-7db1e1b5f71e,386116,386116,24912,7324,,14167,13063
333,Ito,Smith,Ito Smith,DAL,RB,Active,#itosmith-NFL-DAL-43,00-0034378,5004,d033bdd4-2a32-4b08-a9a7-8365933816c3,835082,835082,31096,12835,13252,3123969,19924
334,Brandon,Smith,Brandon Smith,DAL,WR,Active,#brandonsmith-NFL-DAL-80,,7865,c9ef678b-959b-445b-b32a-81c767c8ad65,,1059220,,15307,,,
335,Elijah,McGuire,Elijah McGuire,KC,RB,Active,#elijahmcguire-NFL-KC-24,00-0033295,4263,13ade86a-20c7-48fe-9d18-b3bfc135f5e9,736984,736984,30301,11766,12301,3042494,19109
336,Colin,Thompson,Colin Thompson,CAR,TE,Active,#colinthompson-NFL-CAR-86,00-0033720,4647,1d55ba37-c09e-4945-b7ae-8d84e2357283,694629,694629,30740,12375,,2980120,19542
